Data,Abertura,Máxima,Mínima,Fechamento,Volume Quantidade
31/10/22 17:45,"5206,5",5215,5200,5214,34677
31/10/22 17:30,"5203,5",5210,5197,"5206,5",33370
31/10/22 17:15,5209,5213,5201,5203,36152
31/10/22 17:00,5198,5210,5197,"5209,5",45411
31/10/22 16:45,"5201,5",5205,"5195,5","5197,5",65944
31/10/22 16:30,"5206,5","5212,5",5200,5201,68767
31/10/22 16:15,5206,5216,5205,5206,70149
31/10/22 16:00,"5197,5","5206,5",5196,"5205,5",72188
31/10/22 15:45,5204,5207,"5185,5",5198,113497
31/10/22 15:30,5210,5216,"5192,5",5204,125301
31/10/22 15:15,"5205,5","5215,5",5202,5210,78996
31/10/22 15:00,"5201,5",5209,"5198,5","5205,5",91646
31/10/22 14:45,5225,"5230,5","5187,5",5201,219855
31/10/22 14:30,5247,5248,5218,5225,172102
31/10/22 14:15,5262,5264,5242,"5247,5",110649
31/10/22 14:00,5271,5272,5255,"5262,5",93425
31/10/22 13:45,"5277,5","5280,5",5268,5271,43616
31/10/22 13:30,5273,"5280,5","5268,5",5277,56661
31/10/22 13:15,"5284,5",5286,"5267,5",5273,89360
31/10/22 13:00,5281,"5287,5",5271,"5284,5",103637
31/10/22 12:45,"5271,5","5285,5","5267,5",5281,96627
31/10/22 12:30,5282,5294,5267,"5271,5",109227
31/10/22 12:15,5272,5283,5270,5282,91106
31/10/22 12:00,5255,"5273,5",5254,5272,98363
31/10/22 11:45,"5276,5","5280,5",5253,"5255,5",133168
31/10/22 11:30,5261,"5284,5",5254,"5276,5",126884
31/10/22 11:15,"5249,5",5266,"5238,5",5261,164648
31/10/22 11:00,5297,"5297,5",5246,5249,287988
31/10/22 10:45,5338,"5344,5",5288,5297,249620
31/10/22 10:30,5363,"5363,5",5335,5338,158137
31/10/22 10:15,"5348,5","5364,5","5338,5","5363,5",155320
31/10/22 10:00,"5377,5",5384,5345,5348,165241
31/10/22 09:45,"5369,5",5387,5365,"5377,5",154592
31/10/22 09:30,"5364,5",5380,"5347,5","5369,5",166611
31/10/22 09:15,"5368,5",5390,"5354,5",5364,228947
31/10/22 09:00,5434,5443,"5352,5","5368,5",398122
28/10/22 17:45,"5293,5","5307,5","5281,5","5301,5",35834
28/10/22 17:30,"5294,5",5298,5289,5294,26736
28/10/22 17:15,5295,5298,"5287,5",5295,53825
28/10/22 17:00,5303,"5303,5","5292,5","5294,5",57983
28/10/22 16:45,"5310,5","5311,5","5301,5",5303,54611
28/10/22 16:30,5317,5317,5309,5310,39069
28/10/22 16:15,5310,"5318,5",5308,"5316,5",53644
28/10/22 16:00,5313,"5321,5","5307,5",5310,80034
28/10/22 15:45,"5338,5","5338,5","5312,5","5313,5",76783
